PlotID,SiteName,PlotName,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,SamplingWeek,Hght_w3_mm,Hght_w3_mm,Hght_w3_mm,Chloro_w3_CCI,Chloro_w3_CCI,Chloro_w3_CCI,,,,,
12,VF,VF_SHSS-2,SH,SHSS,1,2,6,126,6/3/2019,3,250,240,280,2.6,16.2,12.1,,,,,
12,VF,VF_SHSS-2,SS,SHSS,1,2,6,126,6/3/2019,3,530,510,360,10.3,7.7,8.2,,,,,
13,VF,VF_VB-3,VB,VB,1,3,1,131,6/3/2019,3,160,110,165,20.9,12.4,25.5,,,,,
14,VF,VF_SSVB-3,SS,SSVB,1,3,2,132,6/3/2019,3,500,420,400,12.5,10.8,13.5,,,,,
14,VF,VF_SSVB-3,VB,SSVB,1,3,2,132,6/3/2019,3,200,120,150,11.3,27.2,39.7,,,,,
15,VF,VF_SHVB-3,SH,SHVB,1,3,3,133,6/3/2019,3,240,220,190,8.3,1.2,13.4,,,,,
15,VF,VF_SHVB-3,VB,SHVB,1,3,3,133,6/3/2019,3,110,190,180,29.6,8.6,25.2,,,,,
16,VF,VF_SHSS-3,SH,SHSS,1,3,4,134,6/3/2019,3,210,220,230,6.4,8.9,9.9,,,,,
16,VF,VF_SHSS-3,SS,SHSS,1,3,4,134,6/3/2019,3,400,390,380,1.9,14.8,11.2,,,,,
17,VF,VF_SS-3,SS,SS,1,3,5,135,6/3/2019,3,420,510,510,7.6,10.4,11.1,,,,,
18,VF,VF_SH-3,SH,SH,1,3,6,136,6/3/2019,3,270,230,270,10,9.9,12.9,,,,,
19,VF,VF_SH-4,SH,SH,1,4,1,141,6/3/2019,3,290,290,250,2.8,8.7,8.5,,,,,
20,VF,VF_SS-4,SS,SS,1,4,2,142,6/3/2019,3,490,500,490,11.9,6.4,14.3,,,,,
21,VF,VF_SHSS-4,SH,SHSS,1,4,3,143,6/3/2019,3,210,250,230,4.1,14,13.1,,,,,
21,VF,VF_SHSS-4,SS,SHSS,1,4,3,143,6/3/2019,3,260,400,460,14.6,14.9,18.2,,,,,
22,VF,VF_VB-4,VB,VB,1,4,4,144,6/3/2019,3,130,150,130,26.5,10.6,38.9,,,,,
23,VF,VF_SHVB-4,SH,SHVB,1,4,5,144,6/3/2019,3,190,230,210,10.4,13.8,8.4,,,,,
23,VF,VF_SHVB-4,VB,SHVB,1,4,5,145,6/3/2019,3,130,120,180,8.6,28.2,13.8,,,,,
24,VF,VF_SSVB-4,SS,SSVB,1,4,6,146,6/3/2019,3,590,430,490,15.9,18,14.6,,,,,
24,VF,VF_SSVB-4,VB,SSVB,1,4,6,146,6/3/2019,3,180,130,120,29.7,18.7,11.8,,,,,
25,VF,VF_SHVB-5,SH,SHVB,1,5,1,151,6/3/2019,3,250,240,200,9.6,16.3,9.2,,,,,
25,VF,VF_SHVB-5,VB,SHVB,1,5,1,151,6/3/2019,3,130,190,190,8.7,20,31.3,,,,,
26,VF,VF_SHSS-5,SH,SHSS,1,5,2,152,6/3/2019,3,220,230,240,9.1,6.4,1.7,,,,,
26,VF,VF_SHSS-5,SS,SHSS,1,5,2,152,6/3/2019,3,390,370,440,20.1,20.5,18.1,,,,,
27,VF,VF_SS-5,SS,SS,1,5,3,153,6/3/2019,3,570,460,410,8.4,10.5,8.6,,,,,
28,VF,VF_SSVB-5,SS,SSVB,1,5,4,154,6/3/2019,3,490,430,460,12.9,17.4,9.4,,,,,
28,VF,VF_SSVB-5,VB,SSVB,1,5,4,154,6/3/2019,3,230,170,260,19.7,9.6,26.1,,,,,
29,VF,VF_SH-5,SH,SH,1,5,5,155,6/3/2019,3,210,220,260,10.3,13,8.1,,,,,
30,VF,VF_VB-5,VB,VB,1,5,6,156,6/3/2019,3,170,160,160,43.4,13.4,17.5,,,,,
31,VF,VF_SSVB-6,SS,SSVB,1,6,1,161,6/3/2019,3,480,460,470,10.7,9.4,9.6,,,,,
31,VF,VF_SSVB-6,VB,SSVB,1,6,1,161,6/3/2019,3,170,120,170,15.1,9.6,14.3,,,,,
32,VF,VF_SH-6,SH,SH,1,6,2,162,6/3/2019,3,270,260,260,8.9,19.5,8.4,,,,,
33,VF,VF_VB-6,VB,VB,1,6,3,163,6/3/2019,3,150,160,140,32.2,29.8,22.1,,,,,
34,VF,VF_SS-6,SS,SS,1,6,4,164,6/3/2019,3,490,450,500,13.3,13.8,4.3,,,,,
35,VF,VF_SHSS-6,SH,SHSS,1,6,5,165,6/3/2019,3,160,190,210,10,8.7,10.8,,,,,
35,VF,VF_SHSS-6,SS,SHSS,1,6,5,165,6/3/2019,3,470,310,370,19.5,16.8,15,,,,,
36,VF,VF_SHVB-6,SH,SHVB,1,6,6,166,6/3/2019,3,160,220,220,10.6,9,8,,,,,
36,VF,VF_SHVB-6,VB,SHVB,1,6,6,166,6/3/2019,3,160,100,190,25.3,14.1,33.7,,,,,
37,FO,FO_SS-1,SS,SS,2,1,1,211,6/3/2019,3,550,390,530,11.8,8.2,1.5,,,,,
38,FO,FO_SHSS-1,SH,SHSS,2,1,2,212,6/3/2019,3,230,210,260,9.3,13.5,15.4,,,,,
38,FO,FO_SHSS-1,SS,SHSS,2,1,2,212,6/3/2019,3,520,430,570,16.8,17.6,19,,,,,
39,FO,FO_SHVB-1,SH,SHVB,2,1,3,213,6/3/2019,3,220,230,220,10.1,9.5,8.2,,,,,
39,FO,FO_SHVB-1,VB,SHVB,2,1,3,213,6/3/2019,3,220,190,460,8.4,21.7,17.6,,,,,
40,FO,FO_SSVB-1,SS,SSVB,2,1,4,214,6/3/2019,3,510,530,540,8.8,8.9,16.5,,,,,
40,FO,FO_SSVB-1,VB,SSVB,2,1,4,214,6/3/2019,3,160,190,180,9,25.8,26.6,,,,,
41,FO,FO_SH-1,SH,SH,2,1,5,215,6/3/2019,3,270,310,260,9.7,13.9,10.5,,,,,
42,FO,FO_VB-1,VB,VB,2,1,6,216,6/3/2019,3,110,130,180,43.1,13.2,35.5,,,,,
43,FO,FO_VB-2,VB,VB,2,2,1,221,6/3/2019,3,190,270,210,38,42.7,30.6,,,,,
44,FO,FO_SSVB-2,SS,SSVB,2,2,2,222,6/3/2019,3,570,470,560,13.9,14.5,9.5,,,,,
44,FO,FO_SSVB-2,VB,SSVB,2,2,2,222,6/3/2019,3,260,180,200,30.4,19.5,28.4,,,,,
45,FO,FO_SS-2,SS,SS,2,2,3,223,6/3/2019,3,600,650,580,15.9,13.1,19.7,,,,,
46,FO,FO_SH-2,SH,SH,2,2,4,224,6/3/2019,3,270,300,260,5.9,9.7,10.5,,,,,
47,FO,FO_SHVB-2,SH,SHVB,2,2,5,225,6/3/2019,3,260,250,280,12.6,5.8,14.9,,,,,
47,FO,FO_SHVB-2,VB,SHVB,2,2,5,225,6/3/2019,3,170,160,NA,11.4,36.2,NA,,,,,
48,FO,FO_SHSS-2,SH,SHSS,2,2,6,226,6/3/2019,3,270,280,310,14.6,17.5,4.9,,,,,
48,FO,FO_SHSS-2,SS,SHSS,2,2,6,226,6/3/2019,3,670,600,570,18.1,11.2,17.5,,,,,
49,FO,FO_SH-3,SH,SH,2,3,1,231,6/3/2019,3,220,260,180,6.2,1.7,7.9,,,,,
50,FO,FO_SHVB-3,SH,SHVB,2,3,2,232,6/3/2019,3,210,180,190,7.6,17.2,10.7,,,,,
50,FO,FO_SHVB-3,VB,SHVB,2,3,2,232,6/3/2019,3,170,210,200,12.9,34.1,24.8,,,,,
51,FO,FO_VB-3,VB,VB,2,3,3,233,6/3/2019,3,170,190,210,50.1,12,32,,,,,
52,FO,FO_SHSS-3,SH,SHSS,2,3,4,234,6/3/2019,3,280,310,290,14.2,13.8,7.7,,,,,
52,FO,FO_SHSS-3,SS,SHSS,2,3,4,234,6/3/2019,3,580,590,620,14.8,9.3,15.7,,,,,
53,FO,FO_SS-3,SS,SS,2,3,5,235,6/3/2019,3,520,560,610,4.6,16.9,12.1,,,,,
54,FO,FO_SSVB-3,SS,SSVB,2,3,6,236,6/3/2019,3,560,580,610,10.9,9.5,12.5,,,,,
54,FO,FO_SSVB-3,VB,SSVB,2,3,6,236,6/3/2019,3,250,240,140,21.1,13.2,12.6,,,,,
55,FO,FO_SHSS-4,SH,SHSS,2,4,1,241,6/3/2019,3,310,340,280,10.6,10.1,11,,,,,
55,FO,FO_SHSS-4,SS,SHSS,2,4,1,241,6/3/2019,3,380,540,470,13,9.4,12.2,,,,,
56,FO,FO_SH-4,SH,SH,2,4,2,242,6/3/2019,3,230,230,190,9.3,5,10.6,,,,,
57,FO,FO_SSVB-4,SS,SSVB,2,4,3,243,6/3/2019,3,480,520,630,11.7,15.3,11.4,,,,,
57,FO,FO_SSVB-4,VB,SSVB,2,4,3,243,6/3/2019,3,120,220,200,40.1,9.4,34,,,,,
58,FO,FO_SS-4,SS,SS,2,4,4,244,6/3/2019,3,470,520,500,11.5,7.1,12.4,,,,,
59,FO,FO_VB-4,VB,VB,2,4,5,245,6/3/2019,3,190,160,240,10,10.2,18.3,,,,,
60,FO,FO_SHVB-4,SH,SHVB,2,4,6,246,6/3/2019,3,210,140,170,24.1,31.4,25.8,,,,,
60,FO,FO_SHVB-4,VB,SHVB,2,4,6,246,6/3/2019,3,160,170,170,27.2,33.5,10.6,,,,,
61,FO,FO_SHVB-5,SH,SHVB,2,5,1,251,6/3/2019,3,160,170,240,8.3,6.6,7.9,,,,,
61,FO,FO_SHVB-5,VB,SHVB,2,5,1,251,6/3/2019,3,190,100,140,11.9,20.2,32.6,,,,,
62,FO,FO_SS-5,SS,SS,2,5,2,252,6/3/2019,3,530,440,430,15.1,2.5,3.4,,,,,
63,FO,FO_SHSS-5,SH,SHSS,2,5,3,253,6/3/2019,3,260,210,250,10.7,9.2,9.9,,,,,
63,FO,FO_SHSS-5,SS,SHSS,2,5,3,253,6/3/2019,3,540,490,560,12.1,6.6,7.4,,,,,
64,FO,FO_VB-5,VB,VB,2,5,4,254,6/3/2019,3,210,280,280,17.9,41.5,27.2,,,,,
65,FO,FO_SSVB-5,SS,SSVB,2,5,5,255,6/3/2019,3,520,480,500,5.6,8.7,11.4,,,,,
65,FO,FO_SSVB-5,VB,SSVB,2,5,5,255,6/3/2019,3,120,160,160,22.8,9.4,25.4,,,,,
66,FO,FO_SH-5,SH,SH,2,5,6,256,6/3/2019,3,220,260,210,18.9,15.6,8.3,,,,,
67,FO,FO_SSVB-6,SS,SSVB,2,6,1,261,6/3/2019,3,500,480,450,8.7,9.4,9.4,,,,,
67,FO,FO_SSVB-6,VB,SSVB,2,6,1,261,6/3/2019,3,170,110,130,18,7.8,20.4,,,,,
68,FO,FO_VB-6,VB,VB,2,6,2,262,6/3/2019,3,110,170,190,22.2,20.3,30.3,,,,,
69,FO,FO_SH-6,SH,SH,2,6,3,263,6/3/2019,3,260,230,230,14,14.6,10,,,,,
70,FO,FO_SHVB-6,VB,SHVB,2,6,4,264,6/3/2019,3,200,130,130,22.5,9.8,27.5,,,,,
70,FO,FO_SHVB-6,SH,SHVB,2,6,4,264,6/3/2019,3,140,240,210,8.1,9.4,26.8,,,,,
71,FO,FO_SHSS-6,SS,SHSS,2,6,5,265,6/3/2019,3,450,510,430,16,13,17.5,,,,,
71,FO,FO_SHSS-6,SH,SHSS,2,6,5,265,6/3/2019,3,190,190,180,1.6,13,9.2,,,,,
72,FO,FO_SS-6,SS,SS,2,6,6,266,6/3/2019,3,460,480,440,10.1,11.6,18.4,,,,,
73,HH,HH_SH-1,SH,SH,3,1,1,311,6/3/2019,3,225,160,200,10.6,10.7,7,,,,,
74,HH,HH_SSVB-1,SS,SSVB,3,1,2,312,6/3/2019,3,480,520,410,12,20.5,19.9,,,,,
74,HH,HH_SSVB-1,VB,SSVB,3,1,2,312,6/3/2019,3,190,110,110,32,18,36,,,,,
75,HH,HH_SHVB-1,SH,SHVB,3,1,3,313,6/3/2019,3,170,220,190,11.3,12.6,10.2,,,,,
75,HH,HH_SHVB-1,VB,SHVB,3,1,3,313,6/3/2019,3,160,150,190,48.9,20.4,14.4,,,,,
76,HH,HH_SHSS-1,SH,SHSS,3,1,4,314,6/3/2019,3,190,260,290,9.1,18,7.2,,,,,
76,HH,HH_SHSS-1,SS,SHSS,3,1,4,314,6/3/2019,3,420,460,480,13.6,16.1,5,,,,,
77,HH,HH_VB-1,VB,VB,3,1,5,315,6/3/2019,3,120,120,100,43.7,11.8,48.2,,,,,
78,HH,HH_SS-1,SS,SS,3,1,6,316,6/3/2019,3,490,520,640,20.4,27.1,10.4,,,,,
79,HH,HH_VB-2,VB,VB,3,2,1,321,6/3/2019,3,170,140,130,26.8,32.2,26.8,,,,,
80,HH,HH_SHSS-2,SH,SHSS,3,2,2,322,6/3/2019,3,230,220,190,12.1,5.6,13.2,,,,,
80,HH,HH_SHSS-2,SS,SHSS,3,2,2,322,6/3/2019,3,330,370,360,12.1,15.2,14.6,,,,,
81,HH,HH_SS-2,SS,SS,3,2,3,323,6/3/2019,3,520,510,590,9.4,21.4,22.2,,,,,
82,HH,HH_SH-2,SH,SH,3,2,4,324,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
83,HH,HH_SHVB-2,SH,SHVB,3,2,5,325,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
83,HH,HH_SHVB-2,VB,SHVB,3,2,5,325,6/3/2019,3,110,110,90,9.4,6.2,8.7,,,,,
84,HH,HH_SSVB-2,SS,SSVB,3,2,6,326,6/3/2019,3,500,550,490,13.4,17.2,19.2,,,,,
84,HH,HH_SSVB-2,VB,SSVB,3,2,6,326,6/3/2019,3,40,140,100,47.2,14.3,3.6,,,,,
85,HH,HH_SHSS-3,SH,SHSS,3,3,1,331,6/3/2019,3,190,210,165,9.6,9.9,9.4,,,,,
85,HH,HH_SHSS-3,SS,SHSS,3,3,1,331,6/3/2019,3,470,440,450,11.3,11.6,21,,,,,
86,HH,HH_SHVB-3,SH,SHVB,3,3,2,332,6/3/2019,3,260,165,190,11.4,8.1,11.1,,,,,
86,HH,HH_SHVB-3,VB,SHVB,3,3,2,332,6/3/2019,3,170,170,110,44.5,40.5,6.7,,,,,
87,HH,HH_SSVB-3,SS,SSVB,3,3,3,333,6/3/2019,3,440,430,480,18.6,26,14.7,,,,,
87,HH,HH_SSVB-3,VB,SSVB,3,3,3,333,6/3/2019,3,210,150,135,48.4,14.3,15.8,,,,,
88,HH,HH_VB-3,VB,VB,3,3,4,334,6/3/2019,3,180,190,200,44.5,15.3,16.8,,,,,
89,HH,HH_SS-3,SS,SS,3,3,5,335,6/3/2019,3,480,470,530,23.7,13.5,24.6,,,,,
90,HH,HH_SH-3,SH,SH,3,3,6,336,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
91,HH,HH_SS-4,SS,SS,3,4,1,341,6/3/2019,3,430,540,480,17.3,19.8,9.5,,,,,
92,HH,HH_SH-4,SH,SH,3,4,2,342,6/3/2019,3,230,220,120,8.9,7.9,11.4,,,,,
93,HH,HH_VB-4,VB,VB,3,4,3,343,6/3/2019,3,140,110,160,25.9,12,13.6,,,,,
94,HH,HH_SHVB-4,SH,SHVB,3,4,4,344,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
94,HH,HH_SHVB-4,VB,SHVB,3,4,4,344,6/3/2019,3,110,160,100,10.4,10.8,8.8,,,,,
95,HH,HH_SSVB-4,SS,SSVB,3,4,5,345,6/3/2019,3,500,540,580,16,13.2,9.8,,,,,
95,HH,HH_SSVB-4,VB,SSVB,3,4,5,345,6/3/2019,3,40,100,90,10.5,6.6,62.9,,,,,
96,HH,HH_SHSS-4,SH,SHSS,3,4,6,346,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
96,HH,HH_SHSS-4,SS,SHSS,3,4,6,346,6/3/2019,3,570,430,490,16.8,18.4,13.6,,,,,
97,HH,HH_SSVB-5,SS,SSVB,3,5,1,351,6/3/2019,3,390,510,510,10.4,13.6,10.3,,,,,
97,HH,HH_SSVB-5,VB,SSVB,3,5,1,351,6/3/2019,3,160,110,140,14.3,49.4,7.7,,,,,
98,HH,HH_VB-5,VB,VB,3,5,2,352,6/3/2019,3,120,130,180,40.5,9.1,25.6,,,,,
99,HH,HH_SHSS-5,SH,SHSS,3,5,3,353,6/3/2019,3,110,120,NA,7.7,5.8,NA,,,,,
99,HH,HH_SHSS-5,SS,SHSS,3,5,3,353,6/3/2019,3,560,540,520,17.5,16.9,8.7,,,,,
100,HH,HH_SS-5,SS,SS,3,5,4,354,6/3/2019,3,560,520,530,15.2,18.6,18.4,,,,,
101,HH,HH_SH-5,SH,SH,3,5,5,355,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
102,HH,HH_SHVB-5,SH,SHVB,3,5,6,356,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
102,HH,HH_SHVB-5,VB,SHVB,3,5,6,356,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
103,HH,HH_SHVB-6,SH,SSVB,3,6,1,361,6/3/2019,3,370,350,440,9.7,10.3,10.4,,,,,
103,HH,HH_SHVB-6,VB,SSVB,3,6,1,361,6/3/2019,3,130,160,120,37.8,66,40.3,,,,,
104,HH,HH_SS-6,SS,SS,3,6,2,362,6/3/2019,3,370,390,470,11.4,2.1,3.1,,,,,
105,HH,HH_SH-6,SH,SH,3,6,3,363,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
106,HH,HH_SSVB-6,SS,SHVB,3,6,4,364,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
106,HH,HH_SSVB-6,VB,SHVB,3,6,4,364,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
107,HH,HH_SHSS-6,SH,SHSS,3,6,5,365,6/3/2019,3,NA,NA,NA,NA,NA,NA,,,,,
107,HH,HH_SHSS-6,SS,SHSS,3,6,5,365,6/3/2019,3,460,440,430,10.9,13.5,20.4,,,,,
108,HH,HH_VB-6,VB,VB,3,6,6,366,6/3/2019,3,90,110,150,17.2,44.3,52.8,,,,,
109,OC,OC_SHSS-1,SH,SHSS,4,1,1,411,6/3/2019,3,500,400,470,6.5,6.9,6.2,,,,,
109,OC,OC_SHSS-1,SS,SHSS,4,1,1,411,6/3/2019,3,120,680,660,27,15.6,12.8,,,,,
110,OC,OC_SS-1,SS,SS,4,1,2,412,6/3/2019,3,520,610,630,29.3,18.9,16.8,,,,,
111,OC,OC_SH-1,SH,SH,4,1,3,413,6/3/2019,3,330,360,330,4.8,6.9,7.2,,,,,
112,OC,OC_SSVB-1,SS,SSVB,4,1,4,414,6/3/2019,3,570,590,600,20.5,28.1,33.8,,,,,
112,OC,OC_SSVB-1,VB,SSVB,4,1,4,414,6/3/2019,3,130,180,135,27.5,38,30.9,,,,,
113,OC,OC_VB-1,VB,VB,4,1,5,415,6/3/2019,3,170,190,145,22.9,8.3,39.7,,,,,
114,OC,OC_SHVB-1,SH,SH,4,1,6,415,6/3/2019,3,370,340,290,6.4,13.7,16.1,,,,,
114,OC,OC_SHVB-1,VB,VB,4,1,6,416,6/3/2019,3,150,160,160,33.2,30.6,4.8,,,,,
115,OC,OC_SHVB-2,SH,SHVB,4,2,1,421,6/3/2019,3,270,290,335,10,3.8,10.4,,,,,
115,OC,OC_SHVB-2,VB,SHVB,4,2,1,421,6/3/2019,3,170,175,165,28.6,31.7,37.1,,,,,
116,OC,OC_VB-2,VB,VB,4,2,2,422,6/3/2019,3,180,160,230,31.5,9.6,11.9,,,,,
117,OC,OC_SHSS-2,SH,SH,4,2,3,423,6/3/2019,3,210,250,260,9.8,6.6,9.4,,,,,
117,OC,OC_SHSS-2,SS,SHSS,4,2,3,423,6/3/2019,3,610,660,660,19.1,26.2,20.4,,,,,
118,OC,OC_SS-2,SS,SHSS,4,2,4,424,6/3/2019,3,650,530,670,21.7,27.5,21.4,,,,,
119,OC,OC_SSVB-2,SS,SH,4,2,5,425,6/3/2019,3,500,650,730,26,17.2,12.5,,,,,
119,OC,OC_SSVB-2,VB,SSVB,4,2,5,425,6/3/2019,3,175,170,220,10.2,30.2,27.1,,,,,
120,OC,OC_SH-2,SH,SSVB,4,2,6,426,6/3/2019,3,400,300,350,11.1,7.7,5.9,,,,,
121,OC,OC_SSVB-3,SS,SSVB,4,3,1,431,6/3/2019,3,640,715,600,25.9,28.6,24.3,,,,,
121,OC,OC_SSVB-3,VB,SSVB,4,3,1,431,6/3/2019,3,220,160,200,26.3,38,12.4,,,,,
122,OC,OC_SH-3,SH,SH,4,3,2,432,6/3/2019,3,290,335,340,7.8,11.8,8.1,,,,,
123,OC,OC_VB-3,VB,VB,4,3,3,433,6/3/2019,3,270,150,260,28,25.6,11.3,,,,,
124,OC,OC_SHVB-3,SH,SHVB,4,3,4,434,6/3/2019,3,300,300,300,8.4,6.9,8,,,,,
124,OC,OC_SHVB-3,VB,SHVB,4,3,4,434,6/3/2019,3,250,280,270,18.6,37.7,40.2,,,,,
125,OC,OC_SHSS-3,SH,SHSS,4,3,5,435,6/3/2019,3,400,350,285,7.2,9,9.9,,,,,
125,OC,OC_SHSS-3,SS,SHSS,4,3,5,435,6/3/2019,3,690,690,710,23,17.1,29.7,,,,,
126,OC,OC_SS-3,SS,SS,4,3,6,436,6/3/2019,3,690,740,640,18.3,16.7,17.4,,,,,
127,OC,OC_SH-4,SH,SH,4,4,1,441,6/3/2019,3,290,340,285,8.3,7.8,9.7,,,,,
128,OC,OC_SSVB-4,SS,SSVB,4,4,2,442,6/3/2019,3,640,510,520,19.7,16.1,17.9,,,,,
128,OC,OC_SSVB-4,VB,SSVB,4,4,2,442,6/3/2019,3,110,90,NA,31.4,12.5,NA,,,,,
129,OC,OC_SS-4,SS,SS,4,4,3,443,6/3/2019,3,540,590,660,19.4,11.3,19.6,,,,,
130,OC,OC_VB-4,VB,VB,4,4,4,444,6/3/2019,3,210,180,280,32,9.2,29.9,,,,,
131,OC,OC_SHVB-4,SH,SHVB,4,4,5,445,6/3/2019,3,290,330,340,65,10.5,7.1,,,,,
131,OC,OC_SHVB-4,VB,SHVB,4,4,5,445,6/3/2019,3,170,200,135,34.4,10,14.4,,,,,
132,OC,OC_SHSS-4,SH,SHSS,4,4,6,446,6/3/2019,3,340,280,380,5.6,13.4,8,,,,,
132,OC,OC_SHSS-4,SS,SHSS,4,4,6,446,6/3/2019,3,690,770,630,17.1,17.5,30,,,,,
133,OC,OC_VB-5,VB,VB,4,5,1,451,6/3/2019,3,250,210,230,37.6,6.6,37,,,,,
134,OC,OC_SHSS-5,SH,SHSS,4,5,2,452,6/3/2019,3,420,460,380,7.1,14.3,11.6,,,,,
134,OC,OC_SHSS-5,SS,SHSS,4,5,2,452,6/3/2019,3,700,630,750,20.9,6,24.1,,,,,
135,OC,OC_SHVB-5,VB,SHVB,4,5,3,453,6/3/2019,3,250,210,210,14.8,40,27.7,,,,,
135,OC,OC_SHVB-5,SH,SHVB,4,5,3,453,6/3/2019,3,360,240,375,11.8,8,6.9,,,,,
136,OC,OC_SH-5,SH,SH,4,5,4,454,6/3/2019,3,410,270,335,12.2,8.6,16.3,,,,,
137,OC,OC_SS-5,SS,SS,4,5,5,455,6/3/2019,3,610,860,810,30.1,23.4,24.6,,,,,
138,OC,OC_SSVB-5,VB,SSVB,4,5,6,456,6/3/2019,3,160,390,220,32.6,29.2,21.2,,,,,
138,OC,OC_SSVB-5,SS,SSVB,4,5,6,456,6/3/2019,3,640,820,710,32.8,28.1,24.2,,,,,
139,OC,OC_SS-6,SS,SS,4,6,1,461,6/3/2019,3,750,660,670,25.9,14.1,35,,,,,
140,OC,OC_SHVB-6,SH,SHVB,4,6,2,462,6/3/2019,3,280,290,370,9.2,13.7,10.6,,,,,
140,OC,OC_SHVB-6,VB,SHVB,4,6,2,462,6/3/2019,3,160,200,140,11.5,37.5,33.4,,,,,
141,OC,OC_SSVB-6,SS,SSVB,4,6,3,463,6/3/2019,3,810,910,890,31.1,16.1,33.5,,,,,
141,OC,OC_SSVB-6,VB,SSVB,4,6,3,463,6/3/2019,3,250,410,320,30.5,9.6,27.8,,,,,
142,OC,OC_SHSS-6,SH,SHSS,4,6,4,464,6/3/2019,3,360,360,370,11.9,6.2,8.3,,,,,
142,OC,OC_SHSS-6,SS,SHSS,4,6,4,464,6/3/2019,3,790,530,660,23.6,26.4,18,,,,,
143,OC,OC_SH-6,SH,SH,4,6,5,465,6/3/2019,3,360,425,390,8.4,12.3,18.2,,,,,
144,OC,OC_VB-6,VB,VB,4,6,6,466,6/3/2019,3,270,240,160,21,9,15.3,,,,,
